ktc_kepler_id,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,CDPP3,CDPP6,CDPP12,dens,dens_err1,dens_err2,prov_sec,kepmag,degree_ra,ra_str,degree_dec,dec_str,st_quarters,teff_prov,logg_prov,feh_prov
10124866,5755,84,-84,4.466,0.018,-0.018,-0.3,0.09,-0.09,0.88,0.06,-0.06,0.91,0.03,-0.02,11.222758902443779,10.2416762775845,9.758585108651054,1.657,0.084,-0.081,MULT10,7.861,284.514435,"                  18h58m03.46s",47.19165,"                  +47d11m29.9s",11111111111111111," SPE6",AST10," SPE6"
3544595,5669,75,-75,4.466,0.01,-0.01,-0.18,0.101,-0.101,0.91,0.06,-0.06,0.921,0.02,-0.02,18.034524228837753,15.258885754479302,13.134020063612196,1.64,0.01,-0.01," MULT8",9.931,291.418304,"                  19h25m40.39s",38.672359,"                  +38d40m20.5s",11111111111111111," SPE8"," AST8"," SPE8"
5774694,5875,84,-84,4.463,0.017,-0.019,0.07,0.09,-0.09,1.06,0.05,-0.06,1.0,0.03,-0.03,20.01498167855399,19.888153757367814,19.627904278891428,1.496,0.086,-0.086,MULT10,8.308,286.068237,"                  19h04m16.38s",41.003174,"                  +41d00m11.4s",11110111011101110," SPE6",AST10," SPE6"
10593626,5642,50,-50,4.443,0.028,-0.028,-0.27,0.08,-0.08,0.97,0.06,-0.06,0.979,0.02,-0.02,29.000127262539333,24.026713053385418,20.42375373840332,1.458,0.03,-0.03," MULT8",11.664,289.217499,"                  19h16m52.20s",47.88446,"                  +47d53m04.1s",11111111111111111," SPE8"," AST8"," SPE8"
3545135,5798,109,-112,4.401,0.09,-0.145,-0.16,0.16,-0.14,0.92,0.07,-0.06,0.999,0.186,-0.1,34.266685803731285,25.941667980617947,20.659320407443577,1.294,0.466,-0.513,"  DSEP",12.147,291.574219,"                  19h26m17.81s",38.655949,"                  +38d39m21.4s",11111111111111111,SPE12,SPE12,SPE12
4815520,5750,115,-128,4.476,0.035,-0.159,0.21,0.09,-0.15,1.05,0.06,-0.07,0.979,0.185,-0.055,36.53455448150635,31.07727759225028,28.38998576572963,1.57,0.227,-0.652,"  DSEP",11.105,284.472168,"                  18h57m53.32s",39.911812,"                  +39d54m42.5s",11110111011101110," SPE3"," SPE3"," SPE3"
8753657,5697,117,-118,4.487,0.029,-0.15,0.28,0.1,-0.16,1.06,0.06,-0.07,0.973,0.174,-0.047,49.219181060791016,36.98682636684842,27.033964263068306,1.619,0.201,-0.643,"  DSEP",12.52,291.848053,"                  19h27m23.53s",44.96822,"                  +44d58m05.6s",11111111111111111," SPE3"," SPE3"," SPE3"
8552719,5688,104,-142,4.476,0.031,-0.127,0.42,0.06,-0.18,1.09,0.04,-0.09,0.998,0.146,-0.053,44.82220458984375,37.671826150682236,31.91113016340468,1.541,0.204,-0.535,"  DSEP",12.16,288.971649,"                  19h15m53.20s",44.624531,"                  +44d37m28.3s",11111111111111111,SPE18,SPE18,SPE18
11600889,5626,92,-124,4.404,0.062,-0.154,0.44,0.04,-0.16,1.05,0.08,-0.06,1.067,0.209,-0.086,49.13818130493164,39.340875244140626,32.5944091796875,1.22,0.308,-0.503,"  DSEP",12.521,286.036346,"                  19h04m08.72s",49.61451,"                  +49d36m52.2s",11111110111011101,SPE18,SPE18,SPE18
11075737,5802,111,-109,4.425,0.079,-0.153,-0.2,0.16,-0.14,0.91,0.07,-0.06,0.966,0.186,-0.087,51.456163279215495,39.846563975016274,32.30133527119954,1.415,0.442,-0.58,"  DSEP",12.872,287.32663,"                  19h09m18.39s",48.673431,"                  +48d40m24.4s",11111110111011101," SPE3"," SPE3"," SPE3"
3442055,5616,107,-96,4.401,0.094,-0.135,-0.04,0.14,-0.14,0.9,0.07,-0.04,0.988,0.182,-0.097,58.840872870551216,42.28008143107096,31.118643018934463,1.309,0.487,-0.499,"  DSEP",13.331,291.019043,"                  19h24m04.57s",38.54557,"                  +38d32m44.1s",11111111111111111,SPE12,SPE12,SPE12
10130039,5827,111,-119,4.421,0.069,-0.151,-0.08,0.15,-0.14,0.96,0.06,-0.07,0.999,0.186,-0.084,52.12395413716634,42.98403029971652,38.618413872188995,1.357,0.371,-0.547,"  DSEP",12.776,287.140656,"                  19h08m33.76s",47.115189,"                  +47d06m54.7s",11111111111111111,SPE12,SPE12,SPE12
7211221,5628,115,-95,4.446,0.079,-0.147,-0.22,0.16,-0.14,0.85,0.07,-0.04,0.911,0.18,-0.076,63.35898186178768,45.82977317361271,34.08009226181928,1.578,0.476,-0.639,"  DSEP",13.687,294.985474,"                  19h39m56.51s",42.727669,"                  +42d43m39.6s",11111111111111111,SPE12,SPE12,SPE12
11446443,5850,50,-50,4.455,0.025,-0.025,-0.15,0.1,-0.1,0.94,0.05,-0.05,0.95,0.02,-0.02,48.85335528055827,48.32753817240397,41.82709681193034,1.53,0.03,-0.03," MULT8",11.338,286.808472,"                  19h07m14.03s",49.316399,"                  +49d18m59.0s",11111110111011101," SPE8"," AST8"," SPE8"
